Precinct,Political Party,Count of Voters by Party
,DEMOCRATIC,194
,REPUBLICAN,14
,NO AFFILIATION,25
,NO PARTY,1
,INDEPENDENT,4
,LIBERTARIAN,1
,NON-PARTISAN,1
,Count of Voters in 0210:,240
211,,
,INDEPENDENCE,1
,NO AFFILIATION,21
,INDEPENDENT,2
,REPUBLICAN,38
,OTHER,1
,DEMOCRATIC,165
,LIBERTARIAN,1
,Count of Voters in 0211:,229
212,,
,NO AFFILIATION,22
,DEMOCRATIC,218
,REPUBLICAN,20
,GREEN,1
,NO PARTY,1
,NON-PARTISAN,3
,INDEPENDENT,1
,Count of Voters in 0212:,266
213,,
,CONSUMER'S,1
,INDEPENDENT,2
,REPUBLICAN,6
,NO AFFILIATION,8
,DEMOCRATIC,77
,Count of Voters in 0213:,94
214,,
,DEMOCRATIC,261
,NO PARTY,2
,NO AFFILIATION,15
,INDEPENDENT,3
,REPUBLICAN,20
,Count of Voters in 0214:,301
215,,
,GREEN,1
,NO PARTY,1
,DEMOCRATIC,303
,NON-PARTISAN,1
,UNAFFILIATED,1
,LIBERTARIAN,1
,NO AFFILIATION,29
,INDEPENDENT,2
,REPUBLICAN,42
,Count of Voters in 0215:,381
216,,
,NO PARTY,1
,UNAFFILIATED,1
,NO AFFILIATION,32
,REPUBLICAN,33
,INDEPENDENT,2
,GREEN,1
,DEMOCRATIC,336
,LIBERTARIAN,4
,NON-PARTISAN,3
,Count of Voters in 0216:,413
217,,
,INDEPENDENT,3
,NO AFFILIATION,23
,REPUBLICAN,25
,NON-PARTISAN,3
,DEMOCRATIC,227
,NO PARTY,1
,GREEN,3
,OTHER,1
,Count of Voters in 0217:,286
218,,
,INDEPENDENT,3
,NO AFFILIATION,23
,REPUBLICAN,23
,DEMOCRATIC,193
,LIBERTARIAN,1
,NO PARTY,1
,OTHER,1
,GREEN,2
,Count of Voters in 0218:,247
219,,
,LIBERTARIAN,2
,INDEPENDENT,1
,GREEN,1
,NO PARTY,4
,OTHER,1
,DEMOCRATIC,241
,REPUBLICAN,18
,NO AFFILIATION,15
,Count of Voters in 0219:,283
220,,
,NO AFFILIATION,12
,DEMOCRATIC,124
,REPUBLICAN,9
,LIBERTARIAN,1
,NON-PARTISAN,1
,Count of Voters in 0220:,147
221,,
,NO AFFILIATION,22
,INDEPENDENT,1
,REPUBLICAN,11
,NO PARTY,2
,DEMOCRATIC,167
,OTHER,1
,Count of Voters in 0221:,204
222,,
,NO PARTY,2
,OTHER,1
,NO AFFILIATION,35
,CONSUMER'S,1
,DEMOCRATIC,293
,REPUBLICAN,28
,LIBERTARIAN,1
,NON-PARTISAN,2
,INDEPENDENT,4
,UNAFFILIATED,1
,Count of Voters in 0222:,367
223,,
,NON-PARTISAN,1
,INDEPENDENCE,1
,INDEPENDENT,4
,REPUBLICAN,26
,NO AFFILIATION,24
,GREEN,1
,LIBERTARIAN,1
,NO PARTY,1
,DEMOCRATIC,309
,Count of Voters in 0223:,368
224,,
,DEMOCRATIC,258
,LIBERTARIAN,1
,NO AFFILIATION,18
,INDEPENDENT,5
,REPUBLICAN,41
,NON-PARTISAN,4
,UNKNOWN,1
,Count of Voters in 0224:,328
225,,
,DEMOCRATIC,254
225,,
,GREEN,2
,NO PARTY,3
,NON-PARTISAN,2
,LIBERTARIAN,3
,NO AFFILIATION,38
,INDEPENDENT,4
,REPUBLICAN,22
,Count of Voters in 0225:,328
226,,
,CONSUMER'S,1
,NO PARTY,1
,NO AFFILIATION,60
,REPUBLICAN,43
,DEMOCRATIC,335
,LIBERTARIAN,3
,UNKNOWN,1
,INDEPENDENT,4
,GREEN,3
,Count of Voters in 0226:,451
227,,
,NON-PARTISAN,2
,INDEPENDENCE,1
,INDEPENDENT,2
,NO AFFILIATION,35
,REPUBLICAN,69
,DEMOCRATIC,300
,LIBERTARIAN,1
,NO PARTY,1
,Count of Voters in 0227:,411
301,,
,DEMOCRATIC,218
,NO AFFILIATION,6
,INDEPENDENT,1
,Count of Voters in 0301:,225
302,,
,NO AFFILIATION,12
,REPUBLICAN,7
,DEMOCRATIC,227
,NO PARTY,1
,OTHER,1
,Count of Voters in 0302:,248
303,,
,REPUBLICAN,4
,DEMOCRATIC,277
,NO AFFILIATION,5
,NON-PARTISAN,1
,INDEPENDENT,2
,Count of Voters in 0303:,289
304,,
,DEMOCRATIC,279
,NO AFFILIATION,5
,REPUBLICAN,7
,INDEPENDENT,1
,UNKNOWN,1
,PROGRESSIVE,1
,Count of Voters in 0304:,294
305,,
,AMERICAN,1
,INDEPENDENT,2
,NO AFFILIATION,2
,REPUBLICAN,1
,DEMOCRATIC,194
,Count of Voters in 0305:,200
306,,
,NO AFFILIATION,5
,INDEPENDENT,2
,REPUBLICAN,2
,DEMOCRATIC,245
,Count of Voters in 0306:,254
307,,
,DEMOCRATIC,219
,REPUBLICAN,5
,INDEPENDENT,2
,OTHER,1
307,,
,LIBERTARIAN,1
,NO AFFILIATION,2
,Count of Voters in 0307:,230
308,,
,NO AFFILIATION,5
,INDEPENDENCE,1
,REPUBLICAN,5
,DEMOCRATIC,230
,Count of Voters in 0308:,241
309,,
,DEMOCRATIC,301
,REPUBLICAN,8
,NO AFFILIATION,6
,INDEPENDENT,2
,Count of Voters in 0309:,317
310,,
,UNKNOWN,1
,INDEPENDENT,1
,NO AFFILIATION,5
,DEMOCRATIC,260
,Count of Voters in 0310:,267
311,,
,REPUBLICAN,6
,NO AFFILIATION,6
,DEMOCRATIC,296
,Count of Voters in 0311:,308
312,,
,REPUBLICAN,5
,NO PARTY,2
,INDEPENDENT,1
,NO AFFILIATION,2
,DEMOCRATIC,253
,Count of Voters in 0312:,263
313,,
,INDEPENDENT,2
,NO AFFILIATION,8
,DEMOCRATIC,216
,Count of Voters in 0313:,226
314,,
,REPUBLICAN,7
,DEMOCRATIC,286
,NO AFFILIATION,8
,UNKNOWN,1
,Count of Voters in 0314:,302
315,,
,UNKNOWN,1
,INDEPENDENT,2
,NO AFFILIATION,5
,DEMOCRATIC,264
,REPUBLICAN,4
,NO PARTY,1
,Count of Voters in 0315:,277
316,,
,NO AFFILIATION,8
,REPUBLICAN,6
,DEMOCRATIC,298
,NON-PARTISAN,1
,UNKNOWN,1
,INDEPENDENT,2
,Count of Voters in 0316:,316
317,,
,REPUBLICAN,2
,NO AFFILIATION,7
,DEMOCRATIC,292
,OTHER,1
,Count of Voters in 0317:,302
318,,
,DEMOCRATIC,297
,NO AFFILIATION,5
,INDEPENDENT REPUBLICAN,1
,REPUBLICAN,3
,Count of Voters in 0318:,306
319,,
,INDEPENDENT,1
,NO PARTY,1
,REPUBLICAN,1
,NO AFFILIATION,9
,DEMOCRATIC,333
,GREEN,2
,LIBERTARIAN,1
,Count of Voters in 0319:,348
320,,
,DEMOCRATIC,211
,NON-PARTISAN,1
,NO PARTY,1
,REPUBLICAN,8
,NO AFFILIATION,3
,Count of Voters in 0320:,224
321,,
,DEMOCRATIC,179
,UNKNOWN,2
,NO AFFILIATION,2
,REPUBLICAN,2
,Count of Voters in 0321:,185
322,,
,DEMOCRATIC,187
,AMERICAN,1
,NON-PARTISAN,1
,NO PARTY,2
,REPUBLICAN,3
,NO AFFILIATION,4
,Count of Voters in 0322:,198
401,,
,NO AFFILIATION,8
,DEMOCRATIC,240
,LIBERTARIAN,1
,OTHER,1
,INDEPENDENT,1
,REPUBLICAN,2
401,,
,UNKNOWN,1
,Count of Voters in 0401:,254
402,,
,DEMOCRATIC,289
,NO AFFILIATION,6
,REPUBLICAN,4
,Count of Voters in 0402:,299
403,,
,REPUBLICAN,4
,UNKNOWN,1
,DEMOCRATIC,276
,NO AFFILIATION,4
,INDEPENDENT,5
,Count of Voters in 0403:,290
404,,
,NO PARTY,1
,REPUBLICAN,3
,DEMOCRATIC,185
,NO AFFILIATION,6
,Count of Voters in 0404:,195
405,,
,NO AFFILIATION,4
,DEMOCRATIC,261
,INDEPENDENT,1
,REPUBLICAN,4
,Count of Voters in 0405:,270
406,,
,REPUBLICAN,4
,DEMOCRATIC,250
,NO AFFILIATION,3
,Count of Voters in 0406:,257
407,,
,REPUBLICAN,6
,DEMOCRATIC,312
,NO AFFILIATION,11
,Count of Voters in 0407:,329
408,,
,INDEPENDENT,2
,REPUBLICAN,6
,NO PARTY,1
,DEMOCRATIC,259
,NO AFFILIATION,10
,NON-PARTISAN,1
,LIBERTARIAN,1
,Count of Voters in 0408:,280
409,,
,NO AFFILIATION,5
,REPUBLICAN,1
,NO PARTY,1
,DEMOCRATIC,278
,Count of Voters in 0409:,285
410,,
,INDEPENDENT,2
,OTHER,1
,DEMOCRATIC,261
,REPUBLICAN,5
,NO AFFILIATION,5
,Count of Voters in 0410:,274
411,,
,NO PARTY,1
,INDEPENDENT,1
,DEMOCRATIC,263
,LIBERTARIAN,1
,REPUBLICAN,4
,OTHER,1
,NO AFFILIATION,9
,Count of Voters in 0411:,280
412,,
,LIBERTARIAN,2
,NO AFFILIATION,6
,INDEPENDENT,2
,REPUBLICAN,4
,DEMOCRATIC,220
,Count of Voters in 0412:,234
413,,
,INDEPENDENT,1
,OTHER,1
,REPUBLICAN,8
,DEMOCRATIC,310
,NO AFFILIATION,2
,GREEN,1
,Count of Voters in 0413:,323
414,,
,NO AFFILIATION,1
,REPUBLICAN,4
,DEMOCRATIC,217
,Count of Voters in 0414:,222
415,,
,REPUBLICAN,6
,UNKNOWN,1
,DEMOCRATIC,233
,NO AFFILIATION,7
,INDEPENDENT,4
,OTHER,1
,Count of Voters in 0415:,252
416,,
,NO AFFILIATION,5
,GREEN,1
,DEMOCRATIC,250
,REPUBLICAN,5
,UNKNOWN,1
,Count of Voters in 0416:,262
417,,
,DEMOCRATIC,250
,INDEPENDENT DEMOCRAT,1
,NO AFFILIATION,6
,REPUBLICAN,3
,INDEPENDENT,1
,Count of Voters in 0417:,261
418,,
,NO PARTY,1
,INDEPENDENT,2
418,,
,DEMOCRATIC,284
,REPUBLICAN,4
,NO AFFILIATION,14
,Count of Voters in 0418:,305
419,,
,NO AFFILIATION,4
,REPUBLICAN,5
,DEMOCRATIC,174
,Count of Voters in 0419:,183
420,,
,INDEPENDENCE,1
,DEMOCRATIC,229
,REPUBLICAN,2
,NO AFFILIATION,8
,Count of Voters in 0420:,240
421,,
,INDEPENDENT,2
,DEMOCRATIC,312
,REPUBLICAN,6
,NO AFFILIATION,4
,Count of Voters in 0421:,324
501,,
,GREEN,3
,NO AFFILIATION,38
,INDEPENDENT,1
,NO PARTY,2
,REPUBLICAN,86
,LIBERTARIAN,2
,NON-PARTISAN,2
,DEMOCRATIC,394
,Count of Voters in 0501:,528
502,,
,GREEN,1
,NON-PARTISAN,2
,LIBERTARIAN,1
,INDEPENDENT,5
,NO PARTY,1
502,,
,OTHER,1
,REPUBLICAN,47
,DEMOCRATIC,252
,NO AFFILIATION,31
,Count of Voters in 0502:,341
503,,
,GREEN,1
,INDEPENDENT,2
,NO AFFILIATION,22
,DEMOCRATIC,279
,REPUBLICAN,65
,Count of Voters in 0503:,369
504,,
,DEMOCRATIC,310
,LIBERTARIAN,4
,REPUBLICAN,41
,INDEPENDENT,3
,NO AFFILIATION,42
,Count of Voters in 0504:,400
505,,
,INDEPENDENT,2
,NO AFFILIATION,31
,DEMOCRATIC,323
,NO PARTY,3
,REPUBLICAN,51
,Count of Voters in 0505:,410
506,,
,NO AFFILIATION,38
,INDEPENDENT,6
,GREEN,2
,NON-PARTISAN,2
,NO PARTY,1
,REPUBLICAN,48
,LIBERTARIAN,3
,MODERATE,1
,DEMOCRATIC,313
,Count of Voters in 0506:,414
507,,
,NO PARTY,3
,REPUBLICAN,23
,DEMOCRATIC,234
,UNAFFILIATED,1
,NO AFFILIATION,32
,INDEPENDENT,4
,GREEN,1
,NON-PARTISAN,1
,LIBERTARIAN,1
,Count of Voters in 0507:,300
508,,
,DEMOCRATIC,330
,UNAFFILIATED,1
,NO PARTY,3
,WORKING FAMILIES PARTY,1
,REPUBLICAN,23
,NON-PARTISAN,2
,DEMOCRATIC SOCIALIST,1
,INDEPENDENT,7
,NO AFFILIATION,44
,INDEPENDENCE,1
,Count of Voters in 0508:,413
509,,
,NO AFFILIATION,38
,INDEPENDENT,4
,NO PARTY,1
,LIBERTARIAN,2
,REPUBLICAN,43
,DEMOCRATIC,296
,GREEN,2
,Count of Voters in 0509:,386
510,,
,GREEN,1
,LIBERTARIAN,1
,NO AFFILIATION,18
,DEMOCRATIC,101
,INDEPENDENT,1
510,,
,REPUBLICAN,43
,Count of Voters in 0510:,165
511,,
,DEMOCRATIC,304
,INDEPENDENT,4
,NO PARTY,2
,NON-PARTISAN,1
,REPUBLICAN,33
,NO AFFILIATION,34
,Count of Voters in 0511:,378
512,,
,DEMOCRATIC,316
,GREEN,1
,INDEPENDENT DEMOCRAT,1
,LIBERTARIAN,3
,NO AFFILIATION,61
,INDEPENDENT,4
,NO PARTY,4
,OTHER,1
,REPUBLICAN,81
,NON-PARTISAN,3
,UNKNOWN,1
,NONE,1
,Count of Voters in 0512:,477
513,,
,LIBERTARIAN,1
,DEMOCRATIC,62
,NO AFFILIATION,10
,REPUBLICAN,12
,Count of Voters in 0513:,85
514,,
,REPUBLICAN,26
,UNKNOWN,2
,NON-PARTISAN,2
,LIBERTARIAN,1
,NO AFFILIATION,26
514,,
,INDEPENDENT,1
,OTHER,1
,GREEN,1
,DEMOCRATIC,211
,Count of Voters in 0514:,271
515,,
,INDEPENDENT,3
,REPUBLICAN,20
,DEMOCRATIC,201
,GREEN,1
,LIBERTARIAN,2
,NO AFFILIATION,26
,NON-PARTISAN,1
,Count of Voters in 0515:,254
516,,
,INDEPENDENT,2
,GREEN,1
,DEMOCRATIC,228
,REPUBLICAN,20
,LIBERTARIAN,2
,NO AFFILIATION,45
,Count of Voters in 0516:,298
517,,
,UNKNOWN,1
,INDEPENDENCE,1
,NON-PARTISAN,1
,INDEPENDENT,5
,REPUBLICAN,31
,NO PARTY,1
,DEMOCRATIC,384
,GREEN,5
,INDEPENDENT DEMOCRAT,1
,LIBERTARIAN,4
,NO AFFILIATION,45
,Count of Voters in 0517:,479
518,,
,REPUBLICAN,106
,LIBERTARIAN,2
,NO AFFILIATION,52
,NON-PARTISAN,3
,INDEPENDENT,6
,DEMOCRATIC,370
,Count of Voters in 0518:,539
519,,
,DEMOCRATIC,427
,NON-PARTISAN,1
,OTHER,1
,LIBERTARIAN,1
,INDEPENDENT,3
,REPUBLICAN,91
,NO AFFILIATION,52
,Count of Voters in 0519:,576
520,,
,DEMOCRATIC,149
,LIBERTARIAN,1
,NO AFFILIATION,11
,REPUBLICAN,14
,INDEPENDENT,1
,GREEN,2
,NON-PARTISAN,1
,Count of Voters in 0520:,179
521,,
,NO AFFILIATION,58
,INDEPENDENCE,1
,GREEN,2
,LIBERTARIAN,1
,DEMOCRATIC,373
,REPUBLICAN,63
,NO PARTY,1
,NONE,1
,INDEPENDENT,4
,OTHER,1
,Count of Voters in 0521:,505
522,,
,INDEPENDENCE,1
,NON-PARTISAN,1
,UNKNOWN,1
,INDEPENDENT,2
,OTHER,1
,DEMOCRATIC,209
,LIBERTARIAN,1
,NO AFFILIATION,17
,REPUBLICAN,28
,Count of Voters in 0522:,261
523,,
,NO AFFILIATION,37
,NON-PARTISAN,2
,INDEPENDENT,6
,LIBERTARIAN,4
,REPUBLICAN,14
,DEMOCRATIC,323
,Count of Voters in 0523:,386
524,,
,INDEPENDENT,1
,NO PARTY,2
,DEMOCRATIC,184
,REPUBLICAN,35
,LIBERTARIAN,3
,NO AFFILIATION,37
,FREEDOM,1
,Count of Voters in 0524:,263
525,,
,NON-PARTISAN,3
,UNAFFILIATED,1
,INDEPENDENT,1
,NO PARTY,1
,DEMOCRATIC,197
,LIBERTARIAN,1
,NO AFFILIATION,27
,REPUBLICAN,22
,Count of Voters in 0525:,253
526,,
,GREEN,2
,INDEPENDENCE,1
,LIBERTARIAN,4
,NON-PARTISAN,4
,NO AFFILIATION,60
,DEMOCRATIC,243
,REPUBLICAN,54
,INDEPENDENT,2
,NO PARTY,2
,NONE,1
,SOCIALIST,1
,Count of Voters in 0526:,374
527,,
,LIBERTARIAN,2
,NO AFFILIATION,44
,REPUBLICAN,55
,CONSERVATIVE,1
,DEMOCRATIC,256
,INDEPENDENT,7
,NO PARTY,2
,UNAFFILIATED,1
,UNKNOWN,1
,GREEN,1
,NON-PARTISAN,2
,Count of Voters in 0527:,372
528,,
,DEMOCRATIC,119
,INDEPENDENT,1
,REPUBLICAN,21
,NO AFFILIATION,27
,UNAFFILIATED,1
,Count of Voters in 0528:,169
529,,
,NO AFFILIATION,7
,DEMOCRATIC,38
,UNAFFILIATED,1
,REPUBLICAN,3
,NO PARTY,1
,NON-PARTISAN,1
,Count of Voters in 0529:,51
601,,
,REPUBLICAN,5
,NO AFFILIATION,17
,NO PARTY,1
,GREEN,1
,DEMOCRATIC,215
,INDEPENDENT,1
,Count of Voters in 0601:,240
602,,
,REPUBLICAN,2
,NO AFFILIATION,3
,DEMOCRATIC,171
,INDEPENDENT,1
,Count of Voters in 0602:,177
603,,
,NO AFFILIATION,14
,REPUBLICAN,10
,CONSERVATIVE DEMOCRAT,1
,DEMOCRATIC,189
,Count of Voters in 0603:,214
604,,
,REPUBLICAN,9
,NO AFFILIATION,4
,DEMOCRATIC,238
,Count of Voters in 0604:,251
605,,
,DEMOCRATIC,123
,NO AFFILIATION,2
,REPUBLICAN,4
,Count of Voters in 0605:,129
606,,
,LIBERTARIAN,1
,NO PARTY,1
,REPUBLICAN,2
,DEMOCRATIC,216
,NO AFFILIATION,7
,Count of Voters in 0606:,227
607,,
,NO AFFILIATION,6
,DEMOCRATIC,224
,INDEPENDENT,1
,REPUBLICAN,3
,UNKNOWN,1
,Count of Voters in 0607:,235
608,,
,REPUBLICAN,4
,NO AFFILIATION,4
,DEMOCRATIC,140
,LIBERTARIAN,1
,Count of Voters in 0608:,149
609,,
,REPUBLICAN,6
,NO AFFILIATION,5
,NON-PARTISAN,2
,INDEPENDENCE,1
,DEMOCRATIC,141
,LIBERTARIAN,1
,Count of Voters in 0609:,156
610,,
,UNKNOWN,1
,DEMOCRATIC,122
,NO AFFILIATION,2
,CONSUMER'S,1
,REPUBLICAN,8
,Count of Voters in 0610:,134
611,,
,DEMOCRATIC,264
,NON-PARTISAN,3
,NO AFFILIATION,5
,NO PARTY,1
,REPUBLICAN,5
,Count of Voters in 0611:,278
612,,
,INDEPENDENT,2
,GREEN,1
,DEMOCRATIC,169
,UNKNOWN,2
,NO AFFILIATION,4
,Count of Voters in 0612:,178
613,,
,NONE,1
,REPUBLICAN,3
,DEMOCRATIC,185
,NO AFFILIATION,3
,Count of Voters in 0613:,192
614,,
,DEMOCRATIC,156
,NO AFFILIATION,9
,LIBERTARIAN,2
,REPUBLICAN,1
,Count of Voters in 0614:,168
615,,
,NO AFFILIATION,5
,INDEPENDENT,2
,DEMOCRATIC,188
,Count of Voters in 0615:,195
616,,
,DEMOCRATIC,190
,GREEN,1
,UNKNOWN,1
,NO AFFILIATION,2
,REPUBLICAN,5
,Count of Voters in 0616:,199
617,,
,REPUBLICAN,4
,NO AFFILIATION,6
,DEMOCRATIC,244
,INDEPENDENT,3
,OTHER,1
,CONSTITUTIONAL,1
,Count of Voters in 0617:,259
618,,
,NO AFFILIATION,4
,NO PARTY,1
,NON-PARTISAN,1
,REPUBLICAN,4
,INDEPENDENT,1
,DEMOCRATIC,273
,Count of Voters in 0618:,284
701,,
,REPUBLICAN,5
,NO PARTY,1
,DEMOCRATIC,127
,NO AFFILIATION,7
,Count of Voters in 0701:,140
702,,
,NO AFFILIATION,1
,DEMOCRATIC,66
,REPUBLICAN,3
,Count of Voters in 0702:,70
703,,
,NO AFFILIATION,2
,UNKNOWN,1
,REPUBLICAN,4
,DEMOCRATIC,50
,Count of Voters in 0703:,57
704,,
,NO AFFILIATION,4
,NO PARTY,1
,REPUBLICAN,5
,DEMOCRATIC,124
,Count of Voters in 0704:,134
705,,
,INDEPENDENT,1
,NO AFFILIATION,5
,NO PARTY,1
,DEMOCRATIC,207
,REPUBLICAN,14
,Count of Voters in 0705:,228
706,,
,NO AFFILIATION,7
,DEMOCRATIC,128
,REPUBLICAN,5
,Count of Voters in 0706:,140
707,,
,DEMOCRATIC,89
,INDEPENDENT,1
,REPUBLICAN,8
,LIBERTARIAN,1
,NO AFFILIATION,4
,Count of Voters in 0707:,103
708,,
,DEMOCRATIC,150
,REPUBLICAN,3
,NON-PARTISAN,1
,NO AFFILIATION,2
,Count of Voters in 0708:,156
709,,
,REPUBLICAN,5
,DEMOCRATIC,79
,NO AFFILIATION,4
,NO PARTY,2
,Count of Voters in 0709:,90
710,,
,NO AFFILIATION,10
,INDEPENDENT,2
,REPUBLICAN,6
,DEMOCRATIC,68
,Count of Voters in 0710:,86
711,,
,NO AFFILIATION,4
,REPUBLICAN,3
,UNKNOWN,1
,DEMOCRATIC,116
,Count of Voters in 0711:,124
712,,
,DEMOCRATIC,113
,REPUBLICAN,11
,NO PARTY,1
,NO AFFILIATION,4
,Count of Voters in 0712:,129
713,,
,DEMOCRATIC,50
,REPUBLICAN,4
,NO AFFILIATION,2
,Count of Voters in 0713:,56
714,,
,NO AFFILIATION,4
,REPUBLICAN,11
,DEMOCRATIC,118
,Count of Voters in 0714:,133
715,,
,REPUBLICAN,3
,DEMOCRATIC,76
,OTHER,1
,NO AFFILIATION,2
,Count of Voters in 0715:,82
716,,
,REPUBLICAN,9
,UNKNOWN,1
,DEMOCRATIC,69
,NO AFFILIATION,2
,Count of Voters in 0716:,81
717,,
,REPUBLICAN,10
,DEMOCRATIC,119
,NO AFFILIATION,4
,Count of Voters in 0717:,133
718,,
,NO AFFILIATION,2
,DEMOCRATIC,115
,NO PARTY,1
,REPUBLICAN,3
,Count of Voters in 0718:,121
719,,
,OTHER,1
,UNDECIDED,1
,AMERICAN INDEPENDENT,1
,NO AFFILIATION,1
,REPUBLICAN,5
